,ADI,AMD,AMKR,ENTG,FORM,FSLR,INTC,IPGP,KLIC,LSCC,MCHP,MPWR,MRVL,MU,OLED,ONTO,POWI,RMBS,SIMO,SLAB,SMTC,SPWR,STM,SWKS,TSEM,TSM,TXN,UCTT,UMC,XLNX,XPER
2021-06-24,165.7210984393,86.1,23.7149952058,119.1463434226,35.05,84.51,55.3285948457,210.75,58.8358608386,55.43,74.1283742819,357.899037967,55.9893257712,80.3803434804,219.4648354507,71.82,81.0466595386,23.67,62.9853526893,147.31,66.25,27.78,36.6465554059,176.6117998701,29.05,116.265214166,186.4423472772,54.08,9.2517528527,133.4612434634,21.9676699157
2021-06-25,166.336203091,85.62,23.5256738155,117.598339799,35.62,87.87,55.1707105015,210.98,61.1339812062,55.87,73.9543873519,364.20347907,56.1488963469,81.8267507532,219.6244680082,72.12,80.4582085279,23.05,62.6096748676,147.0,66.12,27.44,36.4271149544,177.5157693728,29.01,115.5611174238,186.0074040992,52.88,9.1450764572,131.8742015286,22.0472629227
2021-06-28,169.2232265373,87.08,23.7947094754,121.2436386547,36.55,92.71,56.7199506283,212.72,62.7357014624,57.2,75.7191119274,372.9679469539,58.4427233735,83.1734058004,224.5032380466,73.57,81.4356356304,23.43,63.7268220743,151.35,67.46,30.68,37.0255889131,181.4892616923,29.41,118.6155089253,189.3287883675,54.53,9.2129614362,135.1081737731,22.3059401952
2021-06-29,170.0466730872,89.52,23.8046737591,123.1012430031,36.54,92.67,55.9996033082,213.77,60.9549068918,57.28,75.9676646846,376.4737341075,58.6022939493,82.7245207846,223.5055345623,73.46,82.8120125706,23.84,63.2226228925,153.23,68.59,29.89,37.1851819688,189.6845896012,29.62,119.2303539678,190.6632731182,53.92,9.2905442693,139.3103414119,22.24624544
2021-06-30,170.8006723378,93.93,23.5854595177,122.8116165187,36.46,90.51,55.3976692462,210.77,60.8852668807,56.18,74.4365797007,372.5334287294,58.1734480269,84.7694414118,221.8194156738,73.04,81.8445592141,23.71,63.3709167695,153.25,68.8,29.22,36.2874710307,190.4792880651,29.43,119.1609359791,190.089938929,53.72,9.1644721654,144.3709090909,22.1268559296
2021-07-01,167.8342805494,93.31,23.1669596023,118.3473738104,36.75,90.17,55.2693882166,210.0,59.3830323547,55.3,73.4224844517,369.2714544036,57.2359708943,79.9115080195,218.5669023148,72.0,82.3232990194,23.4,61.4826414024,151.8,68.06,28.9,36.3373438606,187.7574458263,29.37,117.4354031179,188.6467183838,52.7,8.9899107909,141.5461740748,21.7885856501
2021-07-02,169.322436965,94.7,23.0274596305,118.4272707716,36.53,90.82,56.0094710797,211.19,58.9552437149,54.89,73.6958924845,375.3864093323,57.2658903773,80.1309629161,219.3750421371,71.03,83.3106998678,23.5,61.4134375931,152.58,67.7,28.81,37.1253345729,190.0521376408,29.5,117.9213290386,190.000973279,51.19,9.1159828947,144.2910579244,21.1418924687
2021-07-06,166.9909919139,94.47,22.6687454173,117.7181852408,35.92,91.19,55.3483303887,210.15,55.3240145627,54.74,72.6420287944,382.5188608396,57.3456756652,80.8791046089,217.8585328409,70.04,83.0613562192,23.47,61.1761673899,152.56,66.28,29.59,37.2649784966,189.1978367921,28.6,119.0518505684,189.002580984,51.45,9.135378603,143.9017834875,20.7538765599
2021-07-07,164.1238105532,90.54,22.3997097574,116.7993701867,35.25,91.27,55.2200493591,207.71,52.0807797582,53.32,71.3396123471,375.9949121882,56.5278764644,78.0261909535,216.3719546493,68.68,82.3731677491,23.1,60.5137880727,149.91,64.78,28.19,37.3946478543,187.032283478,27.14,117.266816574,187.5989007277,51.32,9.1256807489,137.184304103,20.3161150217
2021-07-08,162.6158120521,89.74,22.0409955442,115.3911862452,34.59,89.91,54.6575863831,201.3,50.5387509402,52.83,70.1018196167,372.0845331799,56.1788158299,76.9189412481,212.9199005934,67.99,80.8870796035,22.79,61.7001390887,146.49,63.64,27.58,36.58670801,185.1746758186,26.58,116.8899760641,186.0765996048,49.38,9.0384000616,133.5211318383,20.1171325044
2021-07-09,164.9571781459,90.9,22.6986382684,117.8480178028,35.23,92.54,55.2496526736,207.41,52.7672312966,53.99,71.5931361593,381.6609715674,56.9076328826,78.5449025272,217.1401863322,70.06,82.213587814,23.26,63.3808030279,149.43,65.29,27.92,38.0429946429,188.313734751,27.28,119.5576102001,188.0832692669,51.74,9.2420549986,135.3377458769,20.4355045321
2021-07-12,166.2270716206,90.81,23.0174953468,118.387322291,35.41,94.29,55.9798677652,210.31,53.463631408,54.1,72.6718551252,386.0002952117,57.2370981256,79.3628707781,217.8984409803,71.24,82.2734302897,23.62,64.102499896,149.75,65.15,29.04,38.5117992439,189.9329328712,27.7,121.6103992936,189.7143061844,52.56,9.3487313942,134.8286946903,20.4156062804
